symbol,name,segment,last,sma20,sma50,rsi,52w_low,52w_high,vol_spike,breakout_55d,in_buy_zone,trend_ok,near_stop,signal,reason,dist_to_buy_low_pct,dist_to_buy_high_pct,dist_to_stop_pct,buy_low,buy_high,stop,notes,as_of
RELIANCE.NS,Reliance Industries,User,1475.300048828125,1546.6799926757812,1534.59,26.88223576302923,1161.9000244140625,1592.300048828125,0.9276638504021064,False,False,False,True,SELL,Stop loss breached,69.45705397256815,76.23533613147087,-55.900489654762694,2500.0,2600.0,2300.0,Test seed,2026-01-11 03:10:34
INFY.NS,Infosys,User,1614.0999755859375,1632.2450073242187,1578.75400390625,30.369194830256717,1396.75,1966.949951171875,1.1171681253724188,False,False,False,False,HOLD,Neutral,-7.06895342988391,-3.351711567079268,16.36205808689552,1500.0,1560.0,1350.0,Test seed,2026-01-11 03:10:34
BHARATFORG.NS,BHARATFORG,User,1444.5,1450.2349975585937,1415.31599609375,45.36084769586413,951.5999755859375,1483.4000244140625,1.047401756839248,False,False,False,False,HOLD,Neutral,-11.554863274489447,-6.084458290065774,17.937694704049836,1277.59,1356.61,1185.39,Added via UI,2026-01-11 03:10:34
DATAPATTNS.NS,Data Patterns,User,2650.60009765625,2627.109997558594,2754.085986328125,53.77360663409364,1411.5999755859375,3171.300048828125,1.6398043690237711,False,True,False,False,HOLD,Neutral,-4.259039217423677,1.6633932211326723,11.168040698330957,2537.71,2694.69,2354.58,Added via bulk UI,2026-01-11 03:10:34
CUPID.NS,Cupid,User,424.5,451.75,373.86179901123046,44.52626299106775,57.5,524.9000244140625,1.805996351052087,False,False,False,False,HOLD,Neutral,-40.5017667844523,-36.82214369846879,44.7962308598351,252.57,268.19,234.34,Added via bulk UI,2026-01-11 03:10:34
DRCSYSTEMS.NS,DRCSYSTEMS,User,16.84000015258789,17.2479998588562,17.873799934387208,48.04470226196514,16.799999237060547,30.25,0.8335508834558697,False,False,False,True,SELL,Stop loss breached,9.67933392305592,16.448930061241292,-1.781471761839666,18.47,19.61,17.14,Bulk add 2025-11-07,2026-01-11 03:10:34
FAIRCHEMOR.NS,FAIRCHEMOR,User,711.4500122070312,707.9675018310547,695.3229992675781,57.919692325707736,633.0499877929688,1204.050048828125,0.2727211917935193,False,False,True,False,HOLD,Neutral,0.6817046468132413,6.908424618687922,6.583739040459928,716.3,760.6,664.61,Bulk add 2025-11-07,2026-01-11 03:10:34
GRWRHITECH.NS,GRWRHITECH,User,3040.699951171875,3232.9699829101564,3523.3559912109376,31.2023580905755,2408.89990234375,4769.85009765625,1.6911692322404448,False,False,False,True,SELL,Stop loss breached,8.583222712505401,15.299439480993005,-0.7471979870742869,3301.69,3505.91,3063.42,Bulk add 2025-11-07,2026-01-11 03:10:34
INSPIRISYS.NS,INSPIRISYS,User,84.70999908447266,88.04600028991699,92.27139999389648,28.64198135540643,68.41000366210938,114.4800033569336,1.1494670267734883,False,False,False,True,SELL,Stop loss breached,13.07992094826774,20.068470191547245,-4.922678503831669,95.79,101.71,88.88,Bulk add 2025-11-07,2026-01-11 03:10:34
JHS.NS,JHS,User,10.5600004196167,9.985499906539918,10.832800006866455,54.850751712610894,9.050000190734863,21.010000228881836,2.6740610813298495,False,False,False,True,SELL,Stop loss breached,14.583328780200924,21.590904259320652,-6.249995778004502,12.1,12.84,11.22,Bulk add 2025-11-07,2026-01-11 03:10:34
MURUDCERA.NS,MURUDCERA,User,33.099998474121094,34.41049995422363,36.66700004577637,34.97758652985084,30.31999969482422,50.560001373291016,0.7009196564443829,False,False,False,True,SELL,Stop loss breached,18.338374035348306,25.649552620120915,-9.7885246986101,39.17,41.59,36.34,Bulk add 2025-11-07,2026-01-11 03:10:34
NEWGEN.NS,NEWGEN,User,802.5499877929688,838.0700073242188,883.2110034179688,42.077678707499764,802.5499877929688,1755.9000244140625,1.1228528926526848,False,False,False,True,SELL,Stop loss breached,14.573548562211558,21.66095755419489,-6.306150766534797,919.51,976.39,853.16,Bulk add 2025-11-07,2026-01-11 03:10:34
NUCLEUS.NS,NUCLEUS,User,911.9500122070312,919.5775024414063,940.1860046386719,50.03252294674576,772.0999755859375,1332.550048828125,0.9753157538967677,False,False,False,True,SELL,Stop loss breached,9.651843479879952,16.435110015541383,-1.739129072939598,999.97,1061.83,927.81,Bulk add 2025-11-07,2026-01-11 03:10:34
OPTIEMUS.NS,OPTIEMUS,User,465.20001220703125,503.7674987792969,537.545,28.282841549975345,387.1000061035156,735.4000244140625,1.3970409211410395,False,False,False,True,SELL,Stop loss breached,18.24806224536159,25.56104571640669,-9.71409858279572,550.09,584.11,510.39,Bulk add 2025-11-07,2026-01-11 03:10:34
POKARNA.NS,POKARNA,User,753.5,827.5875,865.2079992675781,22.10912337542331,704.5,1430.050048828125,1.028471671504453,False,False,False,True,SELL,Stop loss breached,15.267418712674182,22.39681486396815,-6.948905109489052,868.54,922.26,805.86,Bulk add 2025-11-07,2026-01-11 03:10:34
REDINGTON.NS,REDINGTON,User,273.29998779296875,275.0125,279.0819989013672,47.952419999209845,201.24000549316406,329.70001220703125,0.6636937785311995,False,False,False,False,HOLD,Neutral,3.6370335349451444,10.047571691745869,3.84192764798904,283.24,300.76,262.8,Bulk add 2025-11-07,2026-01-11 03:10:34
RVNL.NS,RVNL,User,332.20001220703125,343.6300018310547,328.48999938964846,49.88318234582209,302.6000061035156,476.29998779296875,0.6938853231633282,False,False,False,False,HOLD,Neutral,-7.146300823202918,-1.4027730390711277,13.847083238023325,308.46,327.54,286.2,Bulk add 2025-11-07,2026-01-11 03:10:34
SAKSOFT.NS,SAKSOFT,User,186.42999267578125,197.1599998474121,199.5543997192383,32.934252490837565,138.67999267578125,247.97999572753906,0.8330633963503655,False,False,False,False,HOLD,Neutral,1.5984591757192474,7.88500128827629,5.734051974336615,189.41,201.13,175.74,Bulk add 2025-11-07,2026-01-11 03:10:34
SBCL.NS,SBCL,User,428.04998779296875,435.67000274658204,449.50300170898436,42.60281091499176,385.6000061035156,600.4500122070312,2.11806476121852,False,False,False,True,SELL,Stop loss breached,12.954097369078838,19.93926285270956,-4.803180187678302,483.5,513.4,448.61,Bulk add 2025-11-07,2026-01-11 03:10:34
TEXRAIL.NS,TEXRAIL,User,126.48999786376953,132.4709987640381,130.82839904785158,39.79776187976751,117.69999694824219,200.61000061035156,0.5167832298542332,False,False,False,False,HOLD,Neutral,0.6561800539552377,6.88592164070647,6.609216542776214,127.32,135.2,118.13,Bulk add 2025-11-07,2026-01-11 03:10:34
