symbol,name,segment,buy_low,buy_high,stop,notes,status
RELIANCE.NS,Reliance Industries,User,2500.0,2600.0,2300.0,Test seed,
INFY.NS,Infosys,User,1500.0,1560.0,1350.0,Test seed,
BHARATFORG.NS,BHARATFORG,User,1277.59,1356.61,1185.39,Added via UI,
DATAPATTNS.NS,Data Patterns,User,2537.71,2694.69,2354.58,Added via bulk UI,
CUPID.NS,Cupid,User,252.57,268.19,234.34,Added via bulk UI,
DRCSYSTEMS.NS,DRCSYSTEMS,User,18.47,19.61,17.14,Bulk add 2025-11-07,✅
FAIRCHEMOR.NS,FAIRCHEMOR,User,716.3,760.6,664.61,Bulk add 2025-11-07,✅
GRWRHITECH.NS,GRWRHITECH,User,3301.69,3505.91,3063.42,Bulk add 2025-11-07,✅
INSPIRISYS.NS,INSPIRISYS,User,95.79,101.71,88.88,Bulk add 2025-11-07,✅
JHS.NS,JHS,User,12.1,12.84,11.22,Bulk add 2025-11-07,✅
MURUDCERA.NS,MURUDCERA,User,39.17,41.59,36.34,Bulk add 2025-11-07,✅
NEWGEN.NS,NEWGEN,User,919.51,976.39,853.16,Bulk add 2025-11-07,✅
NUCLEUS.NS,NUCLEUS,User,999.97,1061.83,927.81,Bulk add 2025-11-07,✅
OPTIEMUS.NS,OPTIEMUS,User,550.09,584.11,510.39,Bulk add 2025-11-07,✅
POKARNA.NS,POKARNA,User,868.54,922.26,805.86,Bulk add 2025-11-07,✅
REDINGTON.NS,REDINGTON,User,283.24,300.76,262.8,Bulk add 2025-11-07,✅
RVNL.NS,RVNL,User,308.46,327.54,286.2,Bulk add 2025-11-07,✅
SAKSOFT.NS,SAKSOFT,User,189.41,201.13,175.74,Bulk add 2025-11-07,✅
SBCL.NS,SBCL,User,483.5,513.4,448.61,Bulk add 2025-11-07,✅
TEXRAIL.NS,TEXRAIL,User,127.32,135.2,118.13,Bulk add 2025-11-07,✅
TRIVENI.NS,TRIVENI,User,349.69,371.31,324.45,Bulk add 2025-11-07,✅
WELSPUNLIV.NS,WELSPUNLIV,User,125.6,133.36,116.53,Bulk add 2025-11-07,✅
ZENTEC.NS,ZENTEC,User,1318.04,1399.56,1222.92,Bulk add 2025-11-07,✅
INDIAGLYCO.NS,INDIAGLYCO,User,972.47,1032.63,902.29,Bulk add 2025-11-07,✅
